name,type,brand,description,link,price,in_stock,discount
Акустическая гитара Yamaha FG800BS,Акустическая гитара,Yamaha,"Каждая деталь серии FG разработана, чтобы сделать гитару еще совершеннее. Дерево тщательно отбирается и просушивается. Покрытие наносится вручную. Проверка качества на каждом этапе сборки 

Задняя дека и обечайка (Окуме и Нато) обладают характеристиками схожими со звуком Красного дерева. 
Объемное и плотное звучание, насыщенное средними частотами. 

Характеристики: 
 Мензура: 650 мм (25 9/16”) 
 Длина деки: 505 мм (19 7/8"") 
 Общая длина: 1038 мм (40 7/8"") 
 Ширина деки: 412 мм (16 1/4"") 
 Глубина корпуса: 100-118 мм (3 15/16”- 4 5/8”) 
 Ширина верхнего порожка: 43 мм (1 11/16”) 
 String Spacing: 11.0 мм 
 Материал верхней декид: Ель Массив 
 Материал нижней деки: Нато или Окуме 
 Материал обечайки: Нато или Окуме 
 Материал грифа: Нато 
 Материал накладки на гриф: Палисандр 
 Радиус накладки на гриф: R400 мм (23 5/8"") 
 Материал бриджа: Палисандр 
 Материал верхнего порожка: Дюропласт 
 Материал нижнего порожка: Дюропласт 
 Шпильки для бриджа: Пластик 
 Колки: Литые, Хромированные(TM29T) 
 Окантовка корпуса: Черный 
 Цвет Brown sunburst",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12487/,32990,TRUE,FALSE
Акустическая гитара Cort EARTH100-NS Earth Series,Акустическая гитара,Cort,"В знак уважения к великим винтажным акустическим гитарам, серия Earth воспроизводит их внешний вид, звучание, ощущения и играбельность в бескомпромиссном качестве и с отличной стоимостью. Гитары серии Earth замечательно подходят как для игры аккордами, так и перебором и изготовлены из проверенных временем классических материалов, таких как ель, красное дерево и палисандр. 

Верхняя дека из массива ситхинской ели.
Древесина ели обладает идеальным балансом прочности и гибкости, что делает ее лучшим выбором для верхней деки акустической гитары. Универсальный звуковой характер ели отлично подходит для множества музыкальных жанров и стилей игры. 

Задняя дека и обечайка из красного дерева.
Яркое, мощное с теплыми средними частотами, красное дерево на протяжении десятилетий является лучшим выбором для задней деки и обечайки акустических гитар премиум класса. 

Сложная перламутровая розетка.
Центральная розетка из натурального перламутра удачно сочетается с пластиком АБС, создавая классический, и в то же время изысканный внешний вид. 

Порожки из кости.
Верхний и нижний порожки изготовлены из кости азиатского буйвола для наиболее естественной и прозрачной передачи энергии вибрации струн корпусу и грифу. 

Бридж с пазом.
Эксклюзивная форма бриджа с пазом позволяет увеличить угол струны на нижнем порожке. Это снижает натяжение струн вдоль грифа, уменьшая усталость пальцев и увеличивает длительность сустейна. 

Ультрафиолетовое покрытие.
Высокотехнологичное покрытие получаемое с помощью ультрафиолетового излучения отличается высокой прочностью и устойчивостью к царапинам. Тонкое и почти невесомое, оно улучшает естественный акустический резонанс инструмента для его насыщенного и полного звучания. 

Форма корпуса: дредноут.
Мензура: 643мм.
20 ладов.
Верхняя дека: массив ситхинской ели.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Накладка грифа и бридж: палисандр.
Крепление грифа: ласточкин хвост.
Ширина грифа у верхнего порожка: 43мм.
Струны: D'Addario EXP16.
Розетка с натуральным перламутром, порожки из кости, УФ-покрытие.
Цвет: натуральный, матовый.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12733/,21850,FALSE,FALSE
Акустическая Гитара Sigma OMM-ST,Акустическая гитара,Sigma,"Верхняя дека: цельная ель
Нижняя дека и обечайка: махагон
Гриф: махагон
Накладка грифа: индийский палисандр
Мензура: 645 мм
Верхний порожек: кость
Бридж: кость
Ширина порожка: 44,5 мм
Колки: литые, хром",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/13281/,39990,TRUE,FALSE
L710F-NS Luce Series Электро-акустическая гитара Cort,Электроакустическая гитара,Cort,"Оркестровый корпус с вырезом.
Компактный оркестровый корпус OM идеально подходит для музыкантов с хрупким телосложением или тех, кто ищет комфорт при игре. Яркий и сильный акцент на высоких и средних частотах больше подходит для игры пальцами, чем для аккордов, которые часто требует более низких частот. Венецианский вырез на этой модели обеспечивает легкий доступ к высоким ладам.

Верхняя дека из массива ситхинской ели.
Древесина ели обладает идеальным балансом прочности и гибкости, что делает ее лучшим выбором для верхней деки акустической гитары. Универсальный звуковой характер ели отлично подходит для множества музыкальных жанров и стилей игры.

Задняя дека и обечайка из красного дерева.
Яркое, мощное с теплыми средними частотами, красное дерево на протяжении десятилетий является лучшим выбором для задней деки и обечайки акустических гитар премиум класса.

Сложная перламутровая розетка.
Центральная розетка из натурального перламутра удачно сочетается с пластиком АБС, создавая классический, и в то же время изысканный внешний вид.

Порожки из кости.
Верхний и нижний порожки изготовлены из кости для наиболее естественной и прозрачной передачи энергии вибрации струн корпусу и грифу.

Предусилитель Fishman Presys.
3-полосный эквалайзер, светодиодный тюнер и управление фазой обеспечивают звуковую гибкость, а также удобство для различных игровых ситуаций, где требуется усиление.

Форма корпуса: оркестровая OM, с венецианским вырезом.
Мензура: 643мм.
Верхняя дека: массив ситхинской ели.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Накладка грифа и бридж: ованкол.
Крепление грифа: ласточкин хвост.
20 ладов.
Порожки: кость.
Ширина верхнего порожка: 45мм.
Метки ладов: белые точки.
Колковая механика: литая, с черными ручками.
Розетка с перламутром.
Окантовка цвета слоновой кости.
Звукосниматели: Fishman Sonicore.
Электроника: Fishman Presys.
Струны: D'Addario EXP16.
Ультрафиолетовое покрытие.
Цвет: натуральный",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/46972/,29850,TRUE,FALSE
Электро-акустическая гитара Cort AF510E-BKS Standard Series,Электроакустическая гитара,Cort,"Форма корпуса: фолк.
Верхняя дека: ель.
Задняя дека и обечайка: красное дерево.
20 ладов.
Гриф: красное дерево.
Накладка грифа и бридж: палисандр.
Крепление грифа: ласточкин хвост.
Ширина грифа у верхнего порожка: 43 мм.
Черная окантовка.
Струны с покрытием.
Электроника: Cort CE304T EQ.
Звукосниматель: керамический.
Система пружин: улучшенная X-образная.
Цвет: черный.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12715/,15190,TRUE,FALSE
Акустическая гитара Cort EARTH70-BR Earth Series,Акустическая гитара,Cort,"В знак уважения к великим винтажным акустическим гитарам, серия Earth воспроизводит их внешний вид, звучание, ощущения и играбельность в бескомпромиссном качестве и с отличной стоимостью. Гитары серии Earth замечательно подходят как для игры аккордами, так и перебором и изготовлены из проверенных временем классических материалов, таких как ель, красное дерево и палисандр. 

Верхняя дека из массива ели.
Древесина ели обладает идеальным балансом прочности и гибкости, что делает ее лучшим выбором для верхней деки акустической гитары. Универсальный звуковой характер ели отлично подходит для множества музыкальных жанров и стилей игры. 

Задняя дека и обечайка из красного дерева.
Яркое, мощное с теплыми средними частотами, красное дерево на протяжении десятилетий является лучшим выбором для задней деки и обечайки акустических гитар премиум класса. 

Винтажная розетка.
Винтажная черно-белая розетка, которая выдержала испытание временем. Классический внешний вид, который никогда не выйдет из моды. 

Отделка с открытыми порами.
Отделка с открытыми порами не только увеличивает резонанс древесины, но и уменьшает вес инструмента, улучшая его играбельность. 

Бридж с пазом.
Эксклюзивная форма бриджа с пазом позволяет увеличить угол струны на нижнем порожке. Это снижает натяжение струн вдоль грифа, уменьшая усталость пальцев и увеличивает длительность сустейна. 

Форма корпуса: дредноут.
Мензура: 643мм.
20 ладов.
Верхняя дека: массив ели.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Накладка грифа и бридж: палисандр или ованкол.
Крепление грифа: ласточкин хвост.
Ширина грифа у верхнего порожка: 43мм.
Система пружин: улучшенная X-образная.
Струны: D'Addario EXP16.
Цвет: коричневый.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12743/,21650,TRUE,FALSE
Акустическая гитара Yamaha FG800 SB,Акустическая гитара,Yamaha,"Форма корпуса Традиционный Вестерн
 Мензура 650mm (25 9/16”)
 Длина корпуса 505mm (19 7/8"")
 Общая длина 1038mm (40 7/8"")
 Ширина корпуса 412mm (16 1/4"")
 Глубина корпуса 100-118mm (3 15/16”- 4 5/8”)
 Ширина порожка 43mm (1 11/16”)
 Расстояние между струнами 11.0mm
 Верхняя дека Массив ели
 Нижняя дека Нато/Окоуме
 Обечайка Нато/Окоуме
 Гриф Нато
 Накладка грифа Палисандр
 Радиус R400mm (23 5/8"")
 Бридж Палисандр
 Верхний порожек Уреа
 Нижний порожек Уреа
 Колки Литые, хром
 Отделка корпуса Глянец
 Отделка грифа Матовый
 Цвет Sand burst",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12488/,32990,TRUE,FALSE
Акустическая гитара Cort EARTH100-NAT Earth Series,Акустическая гитара,Cort,"В знак уважения к великим винтажным акустическим гитарам, серия Earth воспроизводит их внешний вид, звучание, ощущения и играбельность в бескомпромиссном качестве и с отличной стоимостью. Гитары серии Earth замечательно подходят как для игры аккордами, так и перебором и изготовлены из проверенных временем классических материалов, таких как ель, красное дерево и палисандр. 

Верхняя дека из массива ситхинской ели.
Древесина ели обладает идеальным балансом прочности и гибкости, что делает ее лучшим выбором для верхней деки акустической гитары. Универсальный звуковой характер ели отлично подходит для множества музыкальных жанров и стилей игры. 

Задняя дека и обечайка из красного дерева.
Яркое, мощное с теплыми средними частотами, красное дерево на протяжении десятилетий является лучшим выбором для задней деки и обечайки акустических гитар премиум класса. 

Сложная перламутровая розетка.
Центральная розетка из натурального перламутра удачно сочетается с пластиком АБС, создавая классический, и в то же время изысканный внешний вид. 

Бридж с пазом.
Эксклюзивная форма бриджа с пазом позволяет увеличить угол струны на нижнем порожке. Это снижает натяжение струн вдоль грифа, уменьшая усталость пальцев и увеличивает длительность сустейна. 

Ультрафиолетовое покрытие.
Высокотехнологичное покрытие получаемое с помощью ультрафиолетового излучения отличается высокой прочностью и устойчивостью к царапинам. Тонкое и почти невесомое, оно улучшает естественный акустический резонанс инструмента для его насыщенного и полного звучания. 

Форма корпуса: дредноут.
Мензура: 643мм.
20 ладов.
Верхняя дека: массив ситхинской ели.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Накладка грифа и бридж: палисандр.
Крепление грифа: ласточкин хвост.
Ширина грифа у верхнего порожка: 43мм.
Струны: D'Addario EXP16.
Розетка с натуральным перламутром, порожки из кости, УФ-покрытие.
Цвет: натуральный, глянцевый. ",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12732/,23400,TRUE,FALSE
Акустическая гитара Cort EARTH200F-ATV-SG Earth Series,Акустическая гитара,Cort,"Форма корпуса: дредноут.
Крепление грифа: ласточкин хвост.
Верхняя дека: массив ситхинской ели, подсушенная.
Задняя дека и обечайка: палисандр.
Гриф: красное дерево.
Накладка грифа и бридж: черное дерево.
20 ладов.
Ширина грифа у верхнего порожка: 43 мм.
Мензура: 643 мм.
Колковая механика: Grover Vintage.
Розетка: многослойная, цвет слоновой кости.
Окантовка: белая.
Электроника: Fishman Sonitone.
Струны: D'Addario EXP 16.
Система пружин: X-образная.
Цвет: натуральный.
Отделка: полугянцевая.

Электроника и звукосниматель Fishman — последний штрих, делающай эту гитару почти идеальной. Подсушенная верхняя дека из массива ситхинской ели, задняя дека и обечайка из палисандра, накладка грифа и бридж из черного дерева, а теперь и всемирно известная электроника Fishman — все компоненты тщательно подобраны для получения выдающегося звучания по очень разумной цене.

Верхняя дека из массива ситхинской ели.
Древесина ели обладает идеальным балансом прочности и гибкости, что делает ее лучшим выбором для верхней деки акустической гитары. Универсальный звуковой характер ели отлично подходит для множества музыкальных жанров и стилей игры.

Состаренная верхняя дека.
Винтажные инструменты — настоящий священный грааль акустического гитарного мира. Со временем, древесина верхней деки созревает и раскрывается, что позволяет проявиться тем тональным качествам которых нет у новых инструментов. Так было до сегодняшнего момента. Использование специального процесса Aged To Vintage (Состаривания до винтажности) на верхних деках из массива ситхинской ели, придает им мощное и открытое звучание гитар которым уже несколько десятков лет. Уникальный процесс подсушивания, который позволяет получить винтажное звучание прямо из коробки.

Задняя дека и обечайка из палисандра.
Богатое и глубокое, теплое, но пробивное, с идеальным количеством нежного присутствия, звучание древесины палисандра с его объемным басом и достаточной мощью и громкостью, отлично подходит для любого музыкального стиля.

Электроника Fishman Sonitone.
Устанавливаемая внутрь резонаторного отверстия, не нарушающая целостность корпуса, электроника Fishman Sonitone полностью сохраняет естественный резонанс и чистое акустическое звучание инструмента. Элементы управления просты в использовании, производится регулировка только громкости и тембра.

Колковая механика Grover Vintage.
Винтажный стиль и стабильность настройки, эти колки делают внешний вид гитары еще более классическим.

Струнодержатель и фиксаторы струн из черного дерева.
Высокая плотность черного дерева сохраняет основной акустический звук сфокусированным и плотным с большей звуковой проекцией, чем у пластика, усиливая передачу колебаний струны по всей поверхности деки к корпусу и грифу.

Накладка грифа из черного дерева.
Есть много видов древесины, которые используются для накладки грифа, но ничто не сравнится с темно-черной красотой и гладкостью черного дерева.

Полуглянцевая отделка.
Полуглянцевое покрытие EARTH200F демонстрирует лучшие качества как глянцевой, так и матовой отделки, обеспечивая роскошный вид и гладкость на ощупь",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12739/,36850,TRUE,FALSE
Электро-акустическая гитара Cort EARTH100SSF-SB Earth Series,Электроакустическая гитара,Cort,"Эта популярная модель является настоящим символом дредноут гитары с округлыми «плечами». С ее мензурой 628мм, сбалансированной экспрессией, теплым басом и превосходной звучностью и округлым корпусом, эта модель является одной из наиболее технически совершенных гитар своего времени.

Дредноут с округлыми «плечами».
Классическая форма корпуса дредноут с покатыми «плечами» помогает создавать сильное звучание с мощным басом, живой серединой и чистыми верхними частотами. Эта гитара придется по вкусу музыкантам, играющим пальцами и любителям традиционных гитарных форм и звучаний. Покатые плечи придают гитаре винтажности.

Верхняя дека из массива ситхинской ели.
Древесина ели обладает идеальным балансом прочности и гибкости, что делает ее лучшим выбором для верхней деки акустической гитары. Универсальный звуковой характер ели отлично подходит для множества музыкальных жанров и стилей игры.

Задняя дека и обечайка из красного дерева.
Яркое, мощное с теплыми средними частотами, красное дерево на протяжении десятилетий является лучшим выбором для задней деки и обечайки акустических гитар премиум класса.

Мензура 628мм.
Если у вас маленькие пальцы или вы только начинаете играть, то инструмент с уменьшенной мензурой может быть для вас значительно более удобным.

Порожки из кости.
Верхний и нижний порожки изготовлены из кости азиатского буйвола для наиболее естественной и прозрачной передачи энергии вибрации струн корпусу и грифу.

Электроника Fishman Sonitone EQ.
Устанавливаемая внутрь резонаторного отверстия, не нарушающая целостность корпуса, электроника Fishman Sonitone EQ полностью сохраняет естественный резонанс и чистое акустическое звучание инструмента. Элементы управления просты в использовании, производится регулировка только громкости и тембра.

Винтажная колковая механика.
Винтажный стиль и стабильность настройки дополняют общий классический вид этой модели.

 Форма корпуса: дредноут, покатые «плечи».
 Мензура: 628мм.
 Верхняя дека: массив ситхинской ели.
 Задняя дека и обечайка: красное дерево.
 Гриф: красное дерево.
 Накладка грифа и бридж: ованкол.
 Крепление грифа: ласточкин хвост.
 20 ладов.
 Ширина верхнего порожка: 43мм.
 Колковая механика: открытая, ручки под слоновую кость.
 Розетка АБС, окантовка цвета слоновой кости.
 Электроника: Fishman Sonitone EQ.
 Струны: D'Addario EXP16.
 Цвет: санберст.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/10912/,31560,TRUE,FALSE
